4	64.326455	0.4442983711	64.36906	0.3774387359	0.8141913	0.0014865227	1.00561	0.0059356718
8	32.52039	0.2088258728	32.56562	0.1651383809	0.38512615	0.0010329013	0.56944475	0.0013405678
16	16.40569	0.1159510055	16.43492	0.0678844576	0.19202915	0.0006602548	0.3325229	0.0011718665
32	8.346819	0.0588616815	8.38083	0.0360986886	0.09794507	0.0003712814	0.22603445	0.0010476402
64	4.3141015	0.0250701436	4.349443	0.0186996288	0.049996395	0.000262047	0.1822854	0.0022019658
128	2.303589	0.014270023	2.3434615	0.0101470702	0.02587603	0.0001017949	0.1526863	0.0015495069
256	1.2508235	0.0090457569	1.2907855	0.0070198991	0.01444629	0.0001842694	0.13798875	0.0008681086
512	0.74780845	0.0140879053	0.79328555	0.0099367857	0.010479665	8.35347912076476E-05	0.1316828	0.001535948
1024	0.49683625	0.0032638591	0.52773055	0.0022713734	0.01241067	0.0008819983	0.1324777	0.0020087635
2048	0.38725	0.0018137009	0.4185074	0.0018958109	0.014073215	0.0019409285	0.1336341	0.0023009334
4096	0.33291445	0.0025996834	0.36596415	0.0035021654	0.012036725	0.001140046	0.13182295	0.0017330046
8192	0.32828755	0.0119521387	0.36506095	0.0095370416	0.01262927	0.0010276276	0.13398015	0.0023704095
16384	0.2925055	0.0089959306	0.3284289	0.0110098935	0.012744375	0.0008988304	0.13401665	0.0017818917
32768	0.2881473	0.0089727772	0.3291484	0.0067722302	0.01286748	0.0007340315	0.13580275	0.001565397
65536	0.28819785	0.008176874	0.32297395	0.0046032645	0.013014405	0.0007768888	0.1357674	0.0012998766
131072	0.3693386	0.0072200584	0.42584615	0.0035352193	0.013144275	0.0006850812	0.13652915	0.0013790069
262144	0.36877535	0.0072971315	0.42627795	0.0037761042	0.01337605	0.0007603017	0.1386071	0.0017402235
524288	0.3687418	0.0059464845	0.4268685	0.0037629381	0.01342275	0.0007667266	0.13992965	0.0019165846
1048576	0.36772995	0.0072728981	0.4315585	0.0041558257	0.013528265	0.0007887455	0.14119595	0.0015710342
2097152	0.36694965	0.0075304036	0.43651185	0.003590339	0.013493925	0.0007244905	0.1416594	0.0019548889
4194304	0.3671943	0.0074436975	0.4418887	0.0027827489	0.01358252	0.0007933357	0.1429869	0.0023326893

